,tweet_id,label
0,0,789492294613405696
1,0,810938274814525440
2,0,405834718718861312
3,1,644198918713159680
4,0,815286251326763008
5,0,782559553451941888
6,0,750144582516609024
7,0,810220639437094912
8,0,798268064923938816
9,0,625413758475747328
10,0,816899569237823488
11,0,817050633698209792
12,0,103092346224254976
13,0,718571659645607936
14,0,805613393721905152
15,0,637269086511210496
16,0,660659775298924544
17,0,619575479931129856
18,0,736446446573084672
19,1,786268110429061120
20,0,546007266827460608
21,0,732941397146374144
22,0,45563642695008256
23,0,816641646897098752
24,0,745323006214299648
25,0,788133879756517376
26,0,726522807794958336
27,0,603506925079232512
28,1,795727593014235136
29,0,812292969109815296
30,0,561720767805927424
31,0,637617612327919616
32,0,798605412677259264
33,0,702244788662358016
34,0,668061512590868480
35,0,32090401481428992
36,0,651167544582144000
37,0,705875890971004928
38,0,781889409104814080
39,0,820911111969107968
40,0,628466130542178304
41,0,806540160309620736
42,0,767671972771704832
43,0,712762207373770752
44,0,822644925443534848
45,0,657551910937993216
46,0,817521388558938112
47,0,490707052168097792
48,0,756186094513848320
49,0,612063527646425088
50,0,640884620209336320
51,0,144083992654782464
52,1,711285961640968192
53,1,800906695715196928
54,0,756390622534176768
55,0,147007996306796544
56,0,803079750499627008
57,0,666478619179356160
58,0,823589959324102656
59,0,740212270341455872
60,0,538965888746393600
61,1,755638994386481152
62,0,779727148286300160
63,0,622167986929954816
64,0,628459346712764416
65,0,756836671338020864
66,0,814523867318206464
67,0,724525846157889536
68,0,777551503204687872
69,1,803594398642544640
70,0,732769684274221056
71,0,817110978617888768
72,0,672494432541872128
73,1,85739246354309120
74,0,726049888232984576
75,0,717722541918449664
76,0,672691274923773952
77,0,818730414277791744
78,0,755030817009700864
79,0,105663049490382848
80,0,667496318126964736
81,0,804264783713333248
82,0,232707609671651328
83,1,792817056185847808
84,0,763796735390953472
85,0,731914729824899072
86,0,637027510408998912
87,0,483610694810890240
88,0,723415518783238144
89,0,802148619210149888
90,0,652007659231645696
91,0,666756767586590720
92,0,589487698391367680
93,0,791065197351989248
94,0,747867730490048512
95,0,685474901227089920
96,0,650343327116734464
97,0,633506747324329984
98,0,710976474606600192
99,0,623130246141898752
100,1,778018760443596800
101,0,617989916958527488
102,0,762407095819907072
103,0,596824535409786880
104,0,812341526105702400
105,0,692846464649662464
106,0,762693124590301184
107,0,814275220647399424
108,0,600662700675473408
109,0,814268496817324032
110,0,539879922895167488
111,0,671484718995644416
112,0,106738869139013632
113,0,577754913893171200
114,0,705872001945055232
115,0,754638636201680896
116,0,697753314579083264
117,0,618486423730171904
118,0,532659897091903488
119,0,310506233427787776
120,0,670925399753433088
121,0,532179796953149440
122,0,788817266179702784
123,1,814463544540495872
124,0,740640031912677376
125,0,141562291937222656
126,0,630837642976960512
127,0,814167735080845312
128,0,107159138924109824
129,0,717476153917775872
130,1,815403451119259648
131,0,799707067233628160
132,1,671048386720743424
133,0,820259256742084608
134,0,785159230332559360
135,0,787271901525766144
136,0,613985974167728128
137,0,809145881035505664
138,0,694203712949059584
139,0,620932693941989376
140,0,687416368384356352
141,0,784435738729451520
142,0,747437341288046592
143,0,40793782475694080
144,0,776422624901664768
145,0,125935354070048768
146,0,817005260128587776
147,0,667792764076093440
148,0,758345280559407104
149,0,636983094327820288
150,0,566267816173912064
151,0,821151349270335488
152,0,713440809987784704
153,0,812075321310806016
154,0,761599648611995648
155,0,598260963024986112
156,0,748912854632456192
157,0,133914204112568320
158,0,639897114542219264
159,0,644649546581180416
160,0,598198525479034880
161,0,306562757216567296
162,0,717196951016640512
